county_to,year,migration_in90p,migration_in,migration_in1,migration_in2,migration_in3,migShare1,migShare2,migShare3,migShare90p,state_to
1,2006,1074103,1090253,480,2128,1087645,.044026479,.19518405,99.760788,98.518692,6
3,2006,19,685,,,685,,,100,2.7737226,6
5,2006,631,26284,,,26284,,,100,2.4007001,6
7,2006,2382,142425,378,137358,4689,.26540285,96.442337,3.292259,1.6724592,6
9,2006,846,32705,,37,32668,,.11313255,99.886864,2.5867605,6
11,2006,276,17370,,16718,652,,96.246399,3.7535982,1.5889465,6
13,2006,776699,784676,209,1218,783249,.026635198,.1552233,99.818138,98.983398,6
15,2006,100,15850,15397,194,259,97.141953,1.2239747,1.6340694,.63091481,6
17,2006,130140,135353,25,311,135017,.018470222,.22976957,99.751762,96.14859,6
19,2006,6103,628437,41,616620,11776,.0065241223,98.119621,1.8738554,.97113949,6
21,2006,26,20947,,20787,160,,99.236168,.76383251,.12412278,6
23,2006,1104,85917,215,83774,1928,.25024152,97.50573,2.2440262,1.2849611,6
25,2006,2113,139353,,134624,4729,,96.606461,3.3935401,1.5162932,6
27,2006,68,13476,,12983,493,,96.341644,3.6583557,.50460076,6
29,2006,7616,546385,87,524640,21658,.015922839,96.020203,3.9638717,1.393889,6
31,2006,1476,95002,93,92280,2629,.097892679,97.134796,2.7673101,1.5536515,6
33,2006,1619,40394,37984,422,1988,94.033768,1.0447096,4.9215231,4.0080209,6
35,2006,161,18169,28,17733,408,.15410864,97.600311,2.2455831,.88612473,6
37,2006,78156,7032042,2170,14104,7015768,.030858746,.20056763,99.76857,1.1114268,6
39,2006,1578,94971,,92260,2711,,97.145447,2.8545556,1.6615598,6
41,2006,164924,166297,34,251,166012,.020445349,.15093477,99.828621,99.17437,6
43,2006,125,12394,,11982,412,,96.675812,3.3241892,1.0085526,6
45,2006,1026,61735,168,60194,1373,.27213088,97.503845,2.2240219,1.6619421,6
47,2006,4315,179335,,171288,8047,,95.512871,4.487133,2.4061115,6
49,2006,14,5794,5660,70,64,97.687263,1.2081463,1.104591,.24162927,6
51,2006,134,8376,,75,8301,,.89541548,99.104584,1.5998089,6
53,2006,299636,304938,,2053,302885,,.67325163,99.326752,98.261284,6
55,2006,100043,101080,141,144,100795,.13949347,.14246142,99.718048,98.974083,6
57,2006,2445,72784,123,189,72472,.16899319,.25967246,99.571335,3.3592548,6
59,2006,2202070,2267363,428,3295,2263640,.018876554,.14532301,99.8358,97.120308,6
61,2006,237967,252157,431,930,250796,.17092526,.36881784,99.460258,94.372551,6
63,2006,129,15205,,14877,328,,97.842812,2.1571851,.84840512,6
65,2006,61387,1484626,468,4474,1479684,.03152309,.30135536,99.667122,4.1348462,6
67,2006,28268,1023386,923,4434,1018029,.090190798,.43326759,99.47654,2.7622032,6
69,2006,44202,44573,,252,44321,,.56536466,99.434639,99.167656,6
71,2006,18915,1488537,313,4884,1483340,.021027358,.32810739,99.650864,1.2707108,6
73,2006,2205481,2261275,1551,11634,2248090,.06858962,.51448852,99.416924,97.532631,6
75,2006,517884,527715,400,1346,525969,.075798489,.25506192,99.669136,98.137062,6
77,2006,16387,498084,63,1320,496701,.012648469,.26501554,99.722336,3.2900074,6
79,2006,4425,179214,,1651,177563,,.92124498,99.078758,2.469115,6
81,2006,534197,539362,117,709,538536,.021692296,.13145161,99.846855,99.042389,6
83,2006,284485,290508,,1149,289359,,.39551407,99.604485,97.926735,6
85,2006,1326250,1344866,500,3548,1340818,.037178427,.26381811,99.699005,98.615776,6
87,2006,184211,186088,,565,185523,,.3036198,99.696381,98.991341,6
89,2006,1907,124516,515,120634,3367,.41360146,96.882332,2.7040701,1.5315301,6
91,2006,,2148,,2050,98,,95.437614,4.5623837,,6
93,2006,396,30760,29574,496,690,96.144341,1.6124837,2.2431729,1.2873862,6
95,2006,313916,319458,195,920,318343,.061040889,.28798777,99.65097,98.26519,6
97,2006,347677,351612,426,1189,349997,.12115628,.33815682,99.540688,98.880867,6
99,2006,9056,383840,28,3367,380445,.0072947061,.87718838,99.115517,2.3593163,6
101,2006,967,68297,1876,585,65836,2.7468264,.85655302,96.396622,1.4158748,6
103,2006,584,42011,48,40978,985,.11425579,97.541122,2.344624,1.3901122,6
105,2006,70,7747,7509,168,70,96.927841,2.1685815,.9035756,.9035756,6
107,2006,2703,296495,34,290360,6101,.01146731,97.930824,2.0577075,.91165113,6
109,2006,754,38838,,211,38627,,.54328233,99.456718,1.9413975,6
111,2006,614716,631150,32,1720,629398,.0050701103,.27251843,99.722412,97.396179,6
113,2006,3804,131939,118,676,131145,.089435272,.51235801,99.398209,2.8831506,6
115,2006,1443,49363,43170,294,5899,87.454163,.59558779,11.950246,2.9232421,6
